"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina (Paulo Justiniano e/ou Walmes Zeviani)?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Possui habilitação para dirigir? Qual categoria?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Você teve ao menos um teste positivo para covid-19?","Você conhece alguém que já foi infectado pela covid-19?","Você faz parte do grupo de risco?","Dentre as pessoas que você convive, há ao menos uma pertencente ao grupo de risco?","Você foi vacinado contra a covid-19?","Quais das medidas a seguir você considera eficazes na prevenção à covid-19?","E quais das medidas você efetivamente segue para fins de prevenção?","Como a pandemia afetou sua renda?","Como a pandemia afetou seus estudos?","Como a pandemia afetou seu aprendizado?","Você aprova o formato remoto de ensino?","Você sente mais dificuldades no formato remoto quando comparado ao presencial?","Você acha que a pandemia vai afetar o tempo de conclusão da sua pós graduação?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"11/03/2021 14:19:38","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2007,"UDESC","Iniciação científica",,,,2,"Não",1,0,"Sim","Excel ou similares","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",161,53,"07/12/1984","PROFISSIONAL AUTÔNOMO","Com outros familiares",1,"Outro Estado","B (carro)","Transporte público",30,4,"Cachorro","Violão","Facebook, Instagram","Não",26,"Natação","Não","Não","Não","Não","Não","Uso de álcool em gel","Uso de álcool em gel","Não afetou","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",48,"A da esquerda se chama Kiki, a da direita se chama Bouba.",54
"11/03/2021 14:19:39","UFPR","SD - Saúde","Mestrado Profissional","Ciências Biológicas",2008,"PUCPR","Iniciação científica",,,,10,"CAPES",1,1,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",180,75,"13/11/1984","Profissional Liberal","Com o namorado(a)/noivo(a)/cônjuge",3,"Curitiba","B (carro)","Carro/moto próprio",30,1,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",28,"Basquete","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",47,"A da esquerda se chama Bouba, a da direita se chama Kiki.",61
"11/03/2021 14:19:40","UFPR","CH - Humanas","Doutorado","Ciências Humanas",2009,"UFPR","Iniciação científica",2009,2011,"Universidade de Leipzig (mestrado bilateral)",1,"Não",0,11,"Não","Excel ou similares","Certamente sim",7,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",165,60,"25/12/1985","Trabalho com carteira assinada/Vínculo Formal","Com outros familiares",1,"Curitiba","B (carro)","Carro/moto próprio",15,0,"Cachorro","Não toco nenhum instrumento","Twitter","Não",35,"Caminhada","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Nenhuma","Não afetou","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:41","UFPR","CT - Ciências da Terra","Doutorado","Ciências Exatas",2000,"ufpr","Iniciação científica",2011,2013,"UFPR",1,"CAPES",1,11,"Não","Excel ou similares","Não sei ainda",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",184,74,"26/10/1970","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","A e B (moto e carro)","Transporte público",45,1,"Não possuo","Violão","Linkedin","Não",42,"Ciclismo","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Não afetou","Não afetou","Não afetou","Sim","Sim","Sim",49,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:42","Não sou aluno de pós graduação","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2007,"Unifran","Iniciação científica",,,,0,"Não",10,0,"Sim","Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",172,90,"22/01/1985","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",25,1,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram","Não",42,"Futebol","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",42
"11/03/2021 14:19:43","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2020,"UFPR","Iniciação científica",,2022,"UFPR",2,"CAPES",1,0,"Não","Excel ou similares","Não sei ainda",7,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",164,67,"10/04/1996","Bolsista em tempo integral","Sozinho",3,"Outro Estado","B (carro)","Carro/moto próprio",15,3,"Gato","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",43,"Nenhuma","Sim","Sim","Sim","Sim","Sim","Vacinação","Vacinação","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",49,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:44","UFPR","SD - Saúde","Mestrado Profissional","Ciências Biológicas",2008,"PUCPR","Iniciação científica",,,,10,"CAPES",1,1,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",180,75,"13/11/1984","Profissional Liberal","Com o namorado(a)/noivo(a)/cônjuge",3,"Curitiba","B (carro)","Carro/moto próprio",30,1,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",49,"Futebol","Sim","Sim","Sim","Sim","Sim","Lavagem frequente das mãos","Lavagem frequente das mãos","Não afetou","Não afetou","Afetou pouco","Sim","Sim","Sim",47,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:45","UFPR","ET - Exatas","Doutorado","Ciências Exatas",2016,"FAE","Iniciação científica",2017,2019,"UFPR",0,"Não",2,0,"Sim","Excel ou similares","Não sei ainda",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Prefiro não responder",172,63,"01/09/1994","Trabalho ocasional","Com os pais",1,"Curitiba","B (carro)","Carro/moto próprio",15,0,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",55,"Vôlei","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Afetou moderadamente","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",43
"11/03/2021 14:19:46","UFPR","SD - Saúde","Doutorado","Ciências Humanas",2004,"UFPR","Iniciação científica",2004,2006,"UFPR",4,"Não",1,21,"Sim","Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",159,63,"19/09/1981","Trabalho com carteira assinada/Vínculo Formal","Com os pais",2,"Curitiba","B (carro)","Carro/moto próprio",30,0,"Cachorro, Gato, Coelho","Não toco nenhum instrumento","Outras","Não",55,"Caminhada","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou pouco","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",63,"A da esquerda se chama Kiki, a da direita se chama Bouba.",47
"11/03/2021 14:19:47","UNILA",,"Doutorado","Ciências Exatas",1997,"pucpr","Iniciação científica",1998,2001,"pucpr",10,"Não",1,10,"Sim","Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Feminino",170,62,"02/10/1974","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",0,"Interior do Paraná","B (carro)","Carro/moto próprio",20,0,"Cachorro","Piano","Facebook, Instagram, Linkedin","Não",53,"Nenhuma","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Afetou muito","Não afetou","Afetou muito","Sim","Sim","Sim",45,"A da esquerda se chama Bouba, a da direita se chama Kiki.",53
"11/03/2021 14:19:48","UNICENTRO",,"Doutorado","Ciências Humanas",2013,"UNICENTRO","Iniciação científica",2018,2020,"UNICENTRO",0,"Não",0,0,"Sim","Excel ou similares","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",170,81,"20/09/1989","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Carro/moto próprio",90,0,"Cachorro","Outro","Facebook, Instagram","Não",53,"Basquete","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Extinguiu minha renda","Estudei mais que o normal","Afetou pouco","Não sei dizer","Não","Não",48,"A da esquerda se chama Bouba, a da direita se chama Kiki.",55
"11/03/2021 14:19:49","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Exatas",2018,"UFPR","Iniciação científica, Monitoria",,,,0,"CAPES",1,8,"Sim","Excel ou similares","Não sei ainda",5,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",165,55,"22/11/1995","Bolsista em tempo integral","Com os pais",0,"Outro Estado","B (carro)","Carro/moto próprio",15,1,"Cachorro","Não toco nenhum instrumento","Facebook","Não",8,"Caminhada","Não","Não","Não","Não","Não","Isolamento social","Isolamento social","Afetou muito","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",60,"A da esquerda se chama Bouba, a da direita se chama Kiki.",60
"11/03/2021 14:19:50","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Biológicas",2017,"UFCG","Iniciação científica, Monitoria",,,,2,"CAPES",2,3,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Por alguma outra mídia social da UFPR","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",183,102,"06/12/1993","Bolsista em tempo integral","Com amigos",1,"Outro Estado","Não","A pé",30,5,"Não possuo","Não toco nenhum instrumento","Instagram","Não",10,"Vôlei","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou pouco","Não afetou","Não afetou","Sim","Sim","Sim",46,"A da esquerda se chama Bouba, a da direita se chama Kiki.",65
"11/03/2021 14:19:51","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2018,"UFPR","Iniciação científica, Monitoria",,2022,,0,"Não",1,0,"Sim","Excel ou similares","Certamente sim",5,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",173,70,"04/09/1991","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","B (carro)","Carro/moto próprio",40,5,"Gato","Violão, Guitarra","Facebook","Não",9,"Basquete","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",43,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:52","UEPG",,"Doutorado","Ciências Biológicas",2018,"UP","Iniciação científica, Monitoria",2018,2020,"UEPG",2,"CAPES",0,1,"Não","Excel ou similares","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Prefiro não responder",175,79,"22/08/1996","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",1,"Curitiba","B (carro)","Carro/moto próprio",5,12,"Cachorro","Violão, Guitarra, Contrabaixo","Facebook, Instagram, Linkedin","Não",17,"Caminhada, Basquete","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Afetou moderadamente","Não afetou","Afetou pouco","Sim","Sim","Sim",48,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:53","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2017,"UFPR","Iniciação científica, Monitoria",,,,0,"Não",1,0,"Sim","Excel ou similares","Certamente sim",7,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",174,68,"04/09/1991","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","B (carro)","Carro/moto próprio",30,2,"Gato","Violão, Guitarra","Facebook, Google+","Não",25,"Futebol","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou pouco","Não afetou","Afetou pouco","Sim","Não sei dizer","Não sei dizer",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",58
"11/03/2021 14:19:54","UFPR","ET - Exatas","Doutorado","Ciências Exatas",2016,"UNISALESIANO","Iniciação científica, Monitoria",2017,2019,"UNESP",3,"CAPES",1,0,"Sim","Excel ou similares","Não sei ainda",4,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",177,79,"03/02/1989","Bolsista em tempo integral","Sozinho",2,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",15,7,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",40,"Caminhada","Não","Não","Não","Não","Não","Vacinação","Vacinação","Não afetou","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",57,"A da esquerda se chama Kiki, a da direita se chama Bouba.",56
