"","ln_instituicao","ln_setorAtuacao","lo_ativAtuacao","ln_setorArea","tc_anoFimGrad","ln_localGrad","ln_progGrad","tc_inicMest","tc_fimMest","ln_localMest","td_artigo","ln_bolsaEstudo","td_estatGrad","td_estatPGrad","lo_soft","ln_enumSoft","lo_importancia","td_notaImport","ln_expectAposPG","ln_conhecTransv","lo_videoTransv","ln_turma","lo_contatoProfDisc","lo_contatoProfColabDisc","ln_medio1","ln_medio2","ln_sexo","tc_altura","tc_peso","dataNasc","ln_tipoTrab","ln_compMoradia","td_numIrmao","ln_origem","ln_tipoHab","ln_tipoTransp","tc_tempoPUniv","td_qtddServTransp","ln_pet","ln_instr","ln_rede","tc_idadeProf","ln_kiki","tc_IMC","tc_idade","id_foto"
"11","ufpr","sp - palotina","mestrado academico","ciencias biologicas",2016,"uenp","iniciacao cientifica",NA,NA,"outro",3,"capes",1,15,"sim","sas; excel; prism","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelos professores que ministram/ministraram disciplinas da transversal","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Masculino",192,85,1994-07-02,"bolsista em tempo integral","com amigos",1,"interior","a e b (moto e carro)","carro/moto proprio",3,0,"gato","nao toco nenhum instrumento","Facebook; Instagram",61,"B se chama Bouba e A se chama Kiki.",23.0577256944444,26,1
"12","ufpr","ag - agrarias","doutorado","ciencias biologicas",2016,"ufpr","iniciacao cientifica; monitoria",2018,2020,"ufpr",4,"capes",1,1,"sim","r; excel","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",181,71,1994-08-01,"bolsista em tempo integral","com os pais",2,"curitiba","b (carro)","carro/moto proprio",10,0,"cachorro","outro","Facebook; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",21.6721101309484,26,1
"13","ufpr","sd - saude","mestrado profissional","ciencias biologicas",2014,"outro","iniciacao cientifica; monitoria",NA,NA,"outro",0,"nao",0,1,"sim","statistica","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",168,72,1990-01-15,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",1,"curitiba","b (carro)","carro/moto proprio",15,3,"cachorro","nao toco nenhum instrumento","Facebook; Linkedin",50,"B se chama Bouba e A se chama Kiki.",25.5102040816327,31,1
"14","unioeste",NA,"doutorado","ciencias humanas",2013,"outro","monitoria; projeto de extensao",2016,2018,"unioeste",3,"capes",1,8,"nao","","nao sei ainda",8,"conseguir um emprego.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",159,60,1990-12-20,"bolsista em tempo integral","sozinho",7,"outro estado","nao","transporte publico",40,10,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",42,"B se chama Bouba e A se chama Kiki.",23.7332384003797,30,1
"15","ufpr","tc - tecnologia","mestrado academico","ciencias exatas",2019,"ufpr","iniciacao cientifica",NA,NA,"outro",0,"nao",1,0,"sim","excel","nao sei ainda",5,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",157,58,1996-03-04,"trabalho ocasional","com o namorado(a)/noivo(a)/conjuge",1,"curitiba","b (carro)","carro/moto proprio",20,15,"cachorro","violao","Facebook; Instagram",40,"A se chama Bouba e B se chama Kiki.",23.5303663434622,25,1
"16","ufpr","bl - ciencias biologiccas","doutorado","ciencias biologicas",2016,"outro","iniciacao cientifica",2016,2018,"ufpr",2,"cnpq",1,0,"sim","r","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",160,56,1992-07-23,"bolsista em tempo integral","com amigos",1,"outro estado","a e b (moto e carro)","outro",40,0,"gato","flauta; outro","Facebook; Twitter; Instagram; Linkedin; Outras",48,"B se chama Bouba e A se chama Kiki.",21.875,28,1
"17","ufpr","bl - ciencias biologiccas","doutorado","ciencias biologicas",2015,"utfpr","iniciacao cientifica; projeto de extensao; pibid",2016,2018,"outro",2,"cnpq",1,2,"sim","r; statistica; spss","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",153,48,1990-05-19,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",3,"outro estado","b (carro)","carro/moto proprio",15,1,"cachorro; gato","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",43,"B se chama Bouba e A se chama Kiki.",20.5049339997437,30,1
"18","uepg",NA,"doutorado","ciencias biologicas",2017,"outro","iniciacao cientifica; monitoria; projeto de extensao",2018,2020,"uepg",3,"capes",1,2,"sim","minitab; statistica; spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",177,76,1994-07-22,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",1,"interior","nao","taxi/aplicativo",5,20,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",47,"B se chama Bouba e A se chama Kiki.",24.2586740719461,26,1
"19","uepg",NA,"mestrado academico","ciencias biologicas",2019,"uepg","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",0,"cnpq",1,0,"sim","excel","certamente sim",8,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",157,49,1997-03-14,"bolsista em tempo integral","com os pais",0,"exterior","a e b (moto e carro)","carro/moto proprio",10,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",53,"B se chama Bouba e A se chama Kiki.",19.8791026005112,24,1
"20","ufpr","tc - tecnologia","doutorado","ciencias exatas",2017,"utfpr","iniciacao cientifica; monitoria; projeto de extensao",2017,2019,"utfpr",0,"nao",1,1,"sim","minitab; excel; matlab","certamente sim",10,"conseguir um emprego.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",175,62,1980-09-08,"trabalho por contrato","com outros familiares",3,"interior","a e b (moto e carro)","transporte publico",30,2,"nao possuo","violao; outro","Linkedin",55,"A se chama Bouba e B se chama Kiki.",20.2448979591837,40,1
"21","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2019,"outro","iniciacao cientifica; projeto de extensao",NA,NA,"outro",0,"nao",1,0,"nao","","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",164,57,1995-11-24,"bolsista em tempo integral","com os pais",0,"curitiba","b (carro)","carro/moto proprio",20,6,"passaro","nao toco nenhum instrumento","Facebook; Google+; Instagram; Linkedin",60,"A se chama Bouba e B se chama Kiki.",21.192742415229,25,1
"22","uepg",NA,"mestrado academico","ciencias exatas",2019,"uepg","iniciacao cientifica; pet; estagio nao obrigatorio ",NA,NA,"outro",0,"capes",1,0,"sim","r; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",171,85,1997-04-26,"bolsista em tempo integral","com os pais",1,"interior","b (carro)","carro/moto proprio",25,2,"cachorro; gato","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",65,"A se chama Bouba e B se chama Kiki.",29.0687732977668,23,1
"23","ufpr","bl - ciencias biologiccas","mestrado academico","ciencias biologicas",2015,"outro",NA,NA,NA,"outro",0,"capes",1,0,"sim","graphpad prism","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",157,51,1994-01-19,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",2,"curitiba","nao","transporte publico",30,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",20.6904945433892,27,1
"24","ufpr","ag - agrarias","doutorado","ciencias biologicas",2002,"ufpr","projeto de extensao",NA,2006,"ufpr",2,"nao",0,1,"sim","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",170,60,2020-01-01,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",3,"curitiba","b (carro)","carro/moto proprio",7,0,"nao possuo","nao toco nenhum instrumento","Nenhuma",48,"A se chama Bouba e B se chama Kiki.",20.7612456747405,1,1
"25","ufpr","ag - agrarias","outro","ciencias biologicas",2019,"ufpr","projeto de extensao",NA,NA,"outro",0,"nao",2,0,"sim","excel","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",157,70,1993-05-26,"outro","com os pais",1,"curitiba","b (carro)","transporte publico",30,10,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",58,"A se chama Bouba e B se chama Kiki.",28.3987180007303,27,1
"26","ufpr","sd - saude","mestrado academico","ciencias biologicas",2014,"ufpr","iniciacao cientifica; monitoria",NA,2021,"outro",4,"nao",1,0,"nao","","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","por alguma outra midia social da ufpr","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",164,63,1988-06-28,"outro","com o namorado(a)/noivo(a)/conjuge",1,"outro estado","b (carro)","carro/moto proprio",25,6,"nao possuo","nao toco nenhum instrumento","Instagram; Linkedin",56,"B se chama Bouba e A se chama Kiki.",23.4235574063058,32,1
"27","ufpr","ag - agrarias","mestrado academico","ciencias exatas",2019,"outro","projeto de extensao",NA,2021,"outro",0,"outro",1,0,"sim","excel","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","por colegas","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",164,50,1997-08-30,"outro","pensao, quarto alugado ou algo similar",1,"outro estado","a e b (moto e carro)","a pe",20,10,"cachorro","teclado","Facebook; Instagram; Linkedin",35,"B se chama Bouba e A se chama Kiki.",18.5901249256395,23,1
"28","ufpr","sp - palotina","mestrado academico","ciencias exatas",2019,"ufpr","iniciacao cientifica; monitoria; projeto de extensao",2020,2022,"ufpr",0,"nao",1,0,"sim","excel; matlab","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",167,67,1997-04-22,"outro","pensao, quarto alugado ou algo similar",2,"interior","a e b (moto e carro)","bicicleta",15,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",55,"B se chama Bouba e A se chama Kiki.",24.023808670085,23,1
"29","unila",NA,"doutorado","ciencias exatas",2012,"outro",NA,2013,2016,"outro",1,"nao",2,33,"sim","r; excel","certamente sim",7,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Feminino",157,55,1988-06-17,"trabalho com carteira assinada/vinculo formal","com os pais",6,"exterior","b (carro)","carro/moto proprio",40,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",55,"B se chama Bouba e A se chama Kiki.",22.3132784291452,32,1
"30","ufpr","sp - palotina","mestrado academico","ciencias biologicas",2018,"outro",NA,NA,2021,"outro",0,"nao",1,0,"nao","","certamente sim",10,"conseguir um emprego.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",181,108,1993-08-20,"outro","com os pais",1,"outro estado","b (carro)","a pe",10,0,"nao possuo","outro","Facebook; Twitter; Google+; Instagram",50,"B se chama Bouba e A se chama Kiki.",32.9660266780623,27,1
"31","ufpr","tc - tecnologia","mestrado academico","ciencias exatas",2014,"ufpr","pet; escola piloto da engenharia quimica",2020,NA,"outro",1,"capes",1,0,"sim","excel; matlab","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",166,60,1989-12-16,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",2,"outro estado","b (carro)","carro/moto proprio",20,1,"nao possuo","nao toco nenhum instrumento","Instagram; Linkedin",60,"B se chama Bouba e A se chama Kiki.",21.7738423573813,31,1
"32","ufpr","tc - tecnologia","doutorado","ciencias exatas",2016,"unicentro","iniciacao cientifica; monitoria",2016,2018,"ufpr",2,"nao",1,0,"sim","minitab; statistica; excel","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",187,92,1992-05-01,"trabalho com carteira assinada/vinculo formal","com os pais",0,"interior","b (carro)","transporte publico",25,5,"cachorro; gato","violao; guitarra; bateria","Facebook; Instagram; Linkedin",42,"B se chama Bouba e A se chama Kiki.",26.3090165575224,28,1
"33","utfpr",NA,"doutorado","ciencias humanas",2004,"ufpr","monitoria",2015,2017,"outro",0,"nao",2,8,"sim","minitab; excel","nao sei ainda",8,"outro","site da ufpr ou instituicao de origem","sim","Remota","nao","sim","totalmente em escola publica","ensino medio tradicional","Feminino",176,50,1982-03-11,"trabalho com carteira assinada/vinculo formal","com os pais",1,"curitiba","b (carro)","transporte publico",40,6,"nao possuo","piano","Instagram",57,"B se chama Bouba e A se chama Kiki.",16.1415289256198,39,1
"34","ufpr","tc - tecnologia","mestrado academico","ciencias exatas",2014,"ufpr","pet; escola piloto",2022,NA,"outro",1,"capes",1,0,"sim","excel; matlab","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","sim","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",166,60,1989-12-16,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",2,"outro estado","b (carro)","carro/moto proprio",20,1,"nao possuo","nao toco nenhum instrumento","Instagram; Linkedin",65,"B se chama Bouba e A se chama Kiki.",21.7738423573813,31,1
"35","uepg",NA,"mestrado academico","ciencias biologicas",2016,"uepg","monitoria; projeto de extensao",NA,NA,"outro",0,"capes",0,0,"nao","","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",152,48,1993-04-19,"bolsista em tempo integral","com os pais",1,"curitiba","b (carro)","carro/moto proprio",25,3,"cachorro","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin; Outras",45,"B se chama Bouba e A se chama Kiki.",20.7756232686981,28,1
"36","ufpr","sd - saude","doutorado","ciencias biologicas",2004,"ufpr","monitoria; projeto de extensao",2013,2015,"ufpr",5,"nao",0,2,"sim","spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",186,88,1982-09-22,"trabalho com carteira assinada/vinculo formal","sozinho",1,"curitiba","b (carro)","carro/moto proprio",20,4,"nao possuo","piano","Facebook; Instagram; Linkedin",42,"B se chama Bouba e A se chama Kiki.",25.4364666435426,38,1
"37","ufpr","ag - agrarias","doutorado","ciencias exatas",2017,"outro","iniciacao cientifica; monitoria; projeto de extensao",2018,2020,"ufpr",10,"capes",1,7,"sim","r; excel","nao sei ainda",8,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Presencial","sim","nao","totalmente em escola particular","ensino medio tradicional","Feminino",155,67,1992-01-04,"bolsista em tempo integral","pensao, quarto alugado ou algo similar",2,"outro estado","b (carro)","taxi/aplicativo",5,40,"nao possuo","nao toco nenhum instrumento; violao","Facebook; Instagram; Linkedin",60,"B se chama Bouba e A se chama Kiki.",27.8876170655567,29,1
"38","ufpr","tc - tecnologia","doutorado","ciencias exatas",2017,"outro","iniciacao cientifica; monitoria",2017,2019,"ufpr",0,"cnpq",1,0,"sim","statistica; excel","certamente sim",7,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",168,56,1994-07-05,"bolsista em tempo integral","com outros familiares",1,"outro estado","nao","transporte publico",60,10,"nao possuo","nao toco nenhum instrumento","Facebook; Twitter; Instagram",48,"B se chama Bouba e A se chama Kiki.",19.8412698412698,26,1
"39","uepg",NA,"doutorado","ciencias biologicas",2008,"uepg","iniciacao cientifica; monitoria; projeto de extensao",2010,2012,"uepg",5,"nao",0,34,"sim","spss; graphpad prism","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","outro","Feminino",156,67,1978-02-22,"trabalho com carteira assinada/vinculo formal","sozinho",2,"interior","b (carro)","carro/moto proprio",25,10,"gato","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",45,"B se chama Bouba e A se chama Kiki.",27.5312294543064,43,1
"40","uepg","ed - educacao","mestrado academico","ciencias humanas",2016,"outro","pibid",NA,NA,"outro",0,"nao",0,4,"nao","excel","certamente sim",7,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",170,67,1988-10-17,"outro","sozinho",0,"outro estado","nao","transporte publico",40,4,"gato","violao","Facebook; Twitter; Instagram",45,"B se chama Bouba e A se chama Kiki.",23.1833910034602,32,1
"41","ufpr","tc - tecnologia","doutorado","ciencias exatas",2018,"outro","iniciacao cientifica; monitoria",2018,2020,"outro",2,"nao",1,8,"sim","statistica","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",163,54,1990-09-14,"bolsista em tempo integral","com os pais",2,"outro estado","b (carro)","taxi/aplicativo",20,10,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",48,"B se chama Bouba e A se chama Kiki.",20.3244382551093,30,1
"42","ufpr","tc - tecnologia","doutorado","ciencias exatas",2009,"outro","iniciacao cientifica; monitoria",2010,2012,"ufpr",2,"cnpq",1,8,"sim","r; statistica; excel; matlab; origin ","certamente sim",8,"conseguir um emprego.","site da ufpr ou instituicao de origem","sim","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",168,78,1982-12-28,"bolsista em tempo integral","sozinho",2,"outro estado","nao","a pe",15,4,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",27.6360544217687,38,1
"43","uepg",NA,"mestrado academico","ciencias exatas",2019,"uepg","iniciacao cientifica",NA,NA,"outro",0,"capes",1,0,"sim","statistica; excel","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",170,54,1996-05-26,"bolsista em tempo integral","com os pais",1,"curitiba","b (carro)","carro/moto proprio",20,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",18.6851211072664,24,1
"44","uepg",NA,"doutorado","ciencias humanas",2015,"outro","iniciacao cientifica",2018,2020,"outro",2,"capes",1,8,"sim","spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",165,56,2020-06-06,"bolsista em tempo integral","pensao, quarto alugado ou algo similar",3,"exterior","nao","a pe",20,4,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram",55,"B se chama Bouba e A se chama Kiki.",20.5693296602388,0,1
