"","data_hora","instituicao","setor_ufpr","atividade_ies","area_conhec","fim_grad","inst_grad","programas_grad","inicio_msc","final_msc","inst_msc","artigos","bolsa","materias_est","materias_n_est","software_sn","software_list","met_est","import_met_est","expectativa_pos_pg","conhec_trans","youtube","contat_coord","contat_colab","ensino_medio1","ensino_medio2","sexo","altura","peso","nascimento","emprego","residencia","irmaos","origem","cnh","transporte","tempo_ies","app_transporte","pet","instrumento","redes_sociais","atv_fisica_reg","atv_fisica_n","atv_fisica_qual","covid_positivo","covid_conhecido","covid_gr_risco_me","covid_gr_risco_outro","covid_vacina","medidas_eficazes","medidas_seguidas","covid_renda","covid_estudos","covid_aprendizado","covid_ere","dificuldade_ere","covid_conclusao","descartada","idade_foto","kiki_bouba","quadrados","idade","indica_foto"
"14","14/03/2021 19:12:50","utfpr",NA,"doutorado","ciencias exatas",2015,"outro","iniciacao cientifica; monitoria",2018,2020,"outro",0,"outro",2,8,"sim","r; statistica; excel ou similares","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",159,62,1992-02-19,"bolsista em tempo integral","com os pais",2,"curitiba","nao","transporte publico",40,10,"cachorro","nao toco nenhum instrumento","facebook; instagram; linkedin","sim",6,"corrida; musculacao","nao","sim","sim","sim","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","nao afetou","estudei mais que o normal","afetou moderadamente","sim","sim","nao","",25,"a da esquerda se chama kiki, a da direita se chama bouba.",31,29,"C/ barba"
"15","14/03/2021 19:14:07","ufpr","sd - saude","mestrado academico","ciencias biologicas",2023,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,NA,0,"nao",1,0,"sim","spss; excel ou similares","certamente sim",4,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",163,54,1998-09-23,"bolsista em tempo integral","com os pais",1,"outro estado","b (carro)","carro/moto proprio",0,0,"cachorro","nao toco nenhum instrumento","facebook; instagram","sim",4,"corrida","sim","sim","nao","sim","sim","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","afetou moderadamente","estudei menos que o normal","afetou moderadamente","nao","sim","nao se dizer","",26,"a da esquerda se chama kiki, a da direita se chama bouba.",31,22,"C/ barba"
"16","14/03/2021 19:19:44","ufpr","tc - tecnologia","doutorado","ciencias exatas",2017,"ufpr","iniciacao cientifica",2018,2020,"ufpr",0,"nao",1,0,"sim","excel ou similares","nao sei ainda",5,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",180,66,1993-06-27,"trabalho por contrato","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",1,"curitiba","b (carro)","carro/moto proprio",15,0,"gato","guitarra","nenhuma","sim",7,"musculacao","sim","sim","sim","sim","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","afetou pouco","nao afetou","nao afetou","sim","nao","nao","",30,"a da esquerda se chama kiki, a da direita se chama bouba.",32,27,"C/ barba"
"17","14/03/2021 19:24:31","ufpr","ch - humanas","mestrado academico","ciencias humanas",2020,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,2023,NA,1,"nao",0,0,"sim","r; excel ou similares","nao sei ainda",7,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","sim","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",173,82,1996-06-29,"outro","com os pais",1,"outro estado","nao","transporte publico",55,6,"gato","nao toco nenhum instrumento","facebook; twitter; instagram; linkedin","sim",5,"musculacao","nao","sim","nao","nao","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","nao afetou","estudei menos que o normal","afetou moderadamente","sim","sim","sim","",28,"a da esquerda se chama kiki, a da direita se chama bouba.",16,24,"C/ barba"
"18","14/03/2021 19:24:46","ufpr","sl - litoral","outro","ciencias humanas",2018,"outro","nao participei",2021,2023,"ufpr",0,"nao",6,0,"nao","nunca usei","definitivamente nao",8,"conseguir um emprego.","site da ufpr ou instituicao de origem","sim","sim","sim","totalmente em escola publica","ensino medio tradicional","Feminino",167,78,1982-01-04,"trabalho por contrato","com os pais",1,"interior do parana","nao","servico fretado de van/onibus",60,0,"cachorro; gato; passaro","nao toco nenhum instrumento","facebook; instagram; linkedin","nao",0,"nenhuma","nao","sim","sim","sim","nao","uso de mascaras","uso de mascaras","nao afetou","estudei menos que o normal","nao afetou","sim","sim","sim","",39,"a da esquerda se chama kiki, a da direita se chama bouba.",8,39,"C/ barba"
"19","14/03/2021 19:31:30","ufpr","sd - saude","mestrado academico","ciencias biologicas",2013,"outro","nao participei",NA,NA,NA,0,"nao",1,0,"nao","excel ou similares","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","outro","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",159,81,1976-09-24,"outro","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",2,"curitiba","b (carro)","carro/moto proprio",40,0,"cachorro","nao toco nenhum instrumento","facebook; google+; instagram; linkedin","nao",0,"nenhuma","nao","sim","nao","sim","nao","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","afetou pouco","estudei mais que o normal","afetou moderadamente","sim","nao","nao se dizer","",25,"a da esquerda se chama bouba, a da direita se chama kiki.",35,44,"C/ barba"
"20","14/03/2021 19:35:20","unioeste",NA,"mestrado academico","ciencias biologicas",2011,"unioeste","iniciacao cientifica; monitoria; projeto de extensao; empresa junior",NA,NA,NA,6,"nao",1,8,"sim","r; sas; excel ou similares","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",184,74,1985-06-13,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",3,"interior do parana","a e b (moto e carro)","bicicleta",10,0,"cachorro; passaro","violao","facebook; google+; instagram","nao",0,"caminhada","nao","sim","nao","nao","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","nao afetou","estudei mais que o normal","afetou pouco","sim","nao","nao","",27,"a da esquerda se chama kiki, a da direita se chama bouba.",40,35,"C/ barba"
"21","14/03/2021 19:46:14","ufpr","ag - agrarias","mestrado academico","ciencias humanas",2010,"ufpr","nao participei",NA,NA,NA,2,"nao",1,0,"sim","excel ou similares","certamente sim",7,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","sim","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",174,72,1985-03-21,"outro","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",2,"curitiba","b (carro)","carro/moto proprio",60,0,"cachorro; outro","nao toco nenhum instrumento","facebook; twitter; instagram; linkedin","nao",0,"nenhuma","nao","sim","nao","sim","sim","uso de mascaras; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao","afetou pouco","estudei menos que o normal",NA,"sim","sim","nao se dizer","",27,"a da esquerda se chama kiki, a da direita se chama bouba.",34,36,"C/ barba"
"22","14/03/2021 19:46:16","ufpr","et - exatas","mestrado academico","ciencias exatas",2017,"ufpr","iniciacao cientifica; monitoria",NA,2022,NA,2,"nao",1,0,"sim","excel ou similares","nao sei ainda",8,"aumento salarial e oportunidades mais promissoras.","outro","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Masculino",175,70,1986-07-02,"trabalho com carteira assinada/vinculo formal","com os pais",3,"curitiba","b (carro)","transporte publico",50,20,"cachorro; gato","nao toco nenhum instrumento","instagram","nao",0,"nenhuma","sim","sim","nao","sim","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","extinguiu minha renda","estudei menos que o normal","afetou muito","nao sei dizer","nao sei dizer","sim","",26,"a da esquerda se chama kiki, a da direita se chama bouba.",27,34,"C/ barba"
"23","14/03/2021 19:53:32","ufpr","et - exatas","doutorado","ciencias exatas",2016,"utfpr","iniciacao cientifica",2016,2017,"utfpr",2,"lactec",1,1,"sim","minitab; excel ou similares","nao sei ainda",7,"conseguir um emprego.","pelo(a)  orientador(a)","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",183,100,1993-02-13,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",1,"interior do parana","b (carro)","carro/moto proprio",120,0,"cachorro; passaro","nao toco nenhum instrumento","facebook; instagram; linkedin","nao",0,"nenhuma","nao","sim","sim","sim","nao","uso de mascaras; uso de luvas; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; tratamento precoce (de qualquer especie); isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","afetou moderadamente","estudei menos que o normal","afetou pouco","sim","nao sei dizer","nao","",25,"a da esquerda se chama kiki, a da direita se chama bouba.",36,28,"C/ barba"
"24","14/03/2021 19:53:52","ufpr","tc - tecnologia","mestrado profissional","ciencias exatas",2017,"ufpr","iniciacao cientifica; pet; monitoria",NA,2022,NA,0,"nao",2,0,"sim","r; excel ou similares; matlab","nao sei ainda",7,"aumento salarial e oportunidades mais promissoras.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Masculino",177,73,2019-07-24,"trabalho por contrato","com os pais",1,"curitiba","a e b (moto e carro)","transporte publico",90,0,"cachorro","nao toco nenhum instrumento","facebook; instagram; linkedin; outras","sim",3,"corrida","nao","sim","nao","sim","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; isolamento social","afetou pouco","nao afetou","nao afetou","sim","sim","nao se dizer","",25,"a da esquerda se chama kiki, a da direita se chama bouba.",31,1,"C/ barba"
"25","14/03/2021 19:56:25","ufpr","bl - ciencias biologiccas","doutorado","ciencias biologicas",2011,"outro","iniciacao cientifica",2018,2021,"outro",0,"capes",1,0,"sim","minitab; spss; excel ou similares","certamente sim",10,"outro","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",168,75,1987-08-26,"bolsista em tempo integral","pensao, quarto alugado ou algo similar",2,"outro pais","nao","bicicleta",15,8,"nao possuo","nao toco nenhum instrumento","facebook; instagram; linkedin","sim",3,"danca","sim","sim","nao","nao","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais)","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais)","afetou moderadamente","nao afetou","nao afetou","nao sei dizer","nao sei dizer","nao","",28,"a da esquerda se chama kiki, a da direita se chama bouba.",38,33,"C/ barba"
"26","14/03/2021 20:01:42","ufpr","et - exatas","doutorado","ciencias exatas",2017,"outro","iniciacao cientifica",2018,2020,"ufpr",5,"capes",1,1,"sim","r; statistica; excel ou similares; matlab","certamente sim",6,"aumento salarial e oportunidades mais promissoras.","por alguma outra midia social da ufpr","nao","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",156,64,1995-03-30,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",1,"outro estado","a e b (moto e carro)","carro/moto proprio",5,0,"cachorro","nao toco nenhum instrumento","facebook; instagram","nao",0,"nenhuma","nao","sim","nao","nao","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","nao afetou","estudei menos que o normal","nao afetou","sim","nao","nao","",25,"a da esquerda se chama kiki, a da direita se chama bouba.",36,26,"C/ barba"
"27","14/03/2021 20:05:17","ufpr","tc - tecnologia","mestrado profissional","ciencias biologicas",2019,"outro","iniciacao cientifica",NA,NA,NA,0,"nao",1,0,"nao","excel ou similares; matlab","nao sei ainda",6,"aumento salarial e oportunidades mais promissoras.","por alguma outra midia social da ufpr","nao","nao","nao","parte em escola publica, parte em particular","ensino medio tradicional","Feminino",150,55,1997-11-04,"trabalho com carteira assinada/vinculo formal","com os pais",1,"regiao metropolitana","b (carro)","carro/moto proprio",25,1,"nao possuo","nao toco nenhum instrumento","facebook; instagram; linkedin","nao",0,"nenhuma","nao","sim","nao","nao","nao","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","afetou pouco","estudei menos que o normal","afetou moderadamente","sim","nao","sim","",25,"a da esquerda se chama kiki, a da direita se chama bouba.",31,23,"C/ barba"
"28","14/03/2021 20:12:49","ufpr","sd - saude","mestrado academico","ciencias biologicas",2001,"ufpr","nao participei",NA,NA,NA,0,"nao",1,1,"nao","nunca usei","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","sim","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",158,60,1974-08-10,"outro","com o namorado(a)/noivo(a)/conjuge/nucleo familiar proprio",1,"regiao metropolitana","b (carro)","carro/moto proprio",60,1,"cachorro","nao toco nenhum instrumento","facebook; outras","nao",0,"nenhuma","nao","sim","nao","sim","sim","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; vacinacao; tratamento precoce (de qualquer especie)","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao","afetou pouco","estudei menos que o normal","afetou muito","sim","nao","sim","",30,"a da esquerda se chama kiki, a da direita se chama bouba.",35,46,"C/ barba"
"29","14/03/2021 20:20:42","ufpr","tc - tecnologia","mestrado academico","ciencias exatas",2021,"ufpr","iniciacao cientifica",2021,NA,"ufpr",6,"capes",2,0,"nao","nunca usei","nao sei ainda",6,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",169,60,1995-12-29,"bolsista em tempo integral","com os pais",1,"interior do parana","b (carro)","transporte publico",20,0,"cachorro","nao toco nenhum instrumento","twitter; instagram","sim",5,"caminhada","nao","sim","nao","nao","nao","uso de mascaras; uso de luvas; uso de protecao ocular; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); vacinacao; isolamento social","uso de mascaras; uso de alcool em gel; lavagem frequente das maos; distanciamento entre individuos (1 metro ou mais); isolamento social","nao afetou","estudei menos que o normal","afetou muito","sim","sim","nao","",24,"a da esquerda se chama kiki, a da direita se chama bouba.",37,25,"C/ barba"
